Entity,Description,Source
Australian Citizen Science Association,Citizen science involves public participation and collaboration in scientific research with the aim to increase scientific knowledge. It's a great way to harness community skills and passion to fuel the capacity of science to answer our questions about the world and how it works. ,https://citizenscience.org.au/who-we-are/
European Citizen Science Association,"Citizen Science - the participation of the general public in scientific processes...an open and inclusive approach, for example by supporting and being part of the exploration, shaping and development the different aspects of the citizen science movement, its better understanding and use for the benefit of decision making",https://ecsa.citizen-science.net/about-us
European Citizen Science Association, Citizen Science projects actively involve citizens in scientific endeavour that generate new knowledge or understanding, https://ecsa.citizen-science.net/sites/default/files/ecsa_ten_principles_of_citizen_science.pdf
(US) Citizen Science Association,Citizen science is the involvement of the public in scientific research _ whether community-driven research or global investigations.,https://www.citizenscience.org/
Group on Earth Observations Citizen Science Working Group,Citizen Science encompasses a range of methodologies that encourage and support the contributions of the public to the advancement of scientific and engineering research and monitoring in ways that may include: Co-identifying research questions; Co-designing/conducting investigations; Co-designing/building/testing low cost sensors;Co-collecting and analyzing data; Co-developing data applications; Collaboratively solving complex problems.,
US Citizenscience.gov,"In citizen science, the public participates voluntarily in the scientific process, addressing real-world problems in ways that may include formulating research questions, conducting scientific experiments, collecting and analyzing data, interpreting results, making new discoveries, developing technologies and applications, and solving complex problems.", https://www.citizenscience.gov/about/#
US Crowdsourcing and Citizen Act (15 USC 3724),"The term citizen science means a form of open collaboration in which individuals or organizations participate in the scientific process in various ways, including‹ (A) enabling the formulation of research questions; (B) creating and refining project design; (C) conducting scientific experiments; (D) collecting and analyzing data; (E) interpreting the results of data;(E) interpreting the results of data;(F) developing technologies and applications;(G) making discoveries; and(H) solving problems.",http://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title15-section3724)&num=0&edition=prelim
National Institute of Health,"Citizen science efforts are driven by community concerns. These community-led projects may involve a partnership with an academic or research institution, where both parties work together to collect and share data. The goal is to address a community concern through collaborative research, and to translate the research findings into public health action that benefits the community.",https://www.niehs.nih.gov/research/supported/translational/community/index.cfm
U.S. Environmental Protection Agency (EPA),"Citizen science is a form of open collaboration in which individuals or organizations participate voluntarily in the scientific process in various ways, including collecting and analyzing data. Citizen science provides a way for members of the public to participate and support EPA programs.",https://www.epa.gov/sites/production/files/2018-09/documents/_epaoig_20180905-18-p-0240.pdf
National Aeronautics and Space Administration (NASA),"Citizen Science is defined as a form of open collaboration in which individuals or organizations participate voluntarily in the scientific process in various ways. This policy defines Citizen Science Projects as science projects that rely on volunteers.",https://science.nasa.gov/researchers/science-data
National Oceanic and Atmospheric Administration (NOAA),"Citizen science is defined as a form of open collaboration where members of the public participate in the scientific process to address real-world problems in ways that include identifying research questions, collecting and analyzing data, interpreting results, making new discoveries, developing technologies and applications, and solving complex problems.",https://www.noaa.gov/office-education/citizen-science-crowdsourcing
UNEP Global Environment Outlook 6 (Chapter 25),"Citizen science entails the engagement of volunteers in science and research. Volunteers are commonly involved in data collection, but can also be involved in initiating questions, designing projects, disseminating results and interpreting data.",https://wedocs.unep.org/bitstream/handle/20.500.11822/27677/GEO6_CH25.pdf?sequence=1&isAllowed=y
National Geographic Encyclopedia,"Citizen science is the practice of public participation and collaboration in scientific research to increase scientific knowledge. Through citizen science, people share and contribute to data monitoring and collection programs.",https://www.nationalgeographic.org/education/resource-library/?q=citizen%20science&page=1&per_page=25
Green Paper Citizen Science Strategy 2020 for Germany,"Citizen Science describes the process of generating knowledge through various participatory formats. Participation can range from the short-term collection of data to the intensive use of leisure time to delve deeper into a research topic together with scientists and/or other volunteers, to ask questions, and to get involved in some or all phases of the research process",https://www.buergerschaffenwissen.de/sites/default/files/assets/dokumente/gewiss_cs_strategy_englisch_0.pdf
EU 2017 LAB _ FAB _ APP Investing in the European future we want, "citizen science - where citizens become providers and users of data. This will reinforce and give new meaning to the policy of open access to publications and data; this openness should enable citizens and citizen groups to participate in evidence-based policy and decision-making.",
UNESCO 2013 ,"the participation of a range of non-scientific stakeholders in the scientific process. At its most inclusive and most innovative, citizen science involves citizen volunteers as partners in the entire scientific process, including determining research themes, questions, methodologies and means of disseminating results.", WSIS+10 Working papers
UK Environmental Observation Framework 2012 - Understanding Citizen Science and Environmental Monitoring,"Citizen science, broadly defined as the involvement of volunteers in research",
Oxford English Dictionary, "Scientific work undertaken by members of the general public, often in collaboration with or under the direction of professional scientists and scientific institutions.", https://www.oed.com/view/Entry/33513?redirectedFrom=citizen+science#eid316619123
SCU 2013, "Citizen science encompasses many different ways in which citizens are involved in science. This may include mass participation schemes in which citizens use smartphone apps to submit wildlife monitoring data, as well as smaller-scale activities, for example, grassroots groups taking part in local policy debates about fracking.", Science for Environment Policy Indepth Report: Environmental Citizen Science 
UK Parliamentary Office of Science and Technology 2014, "environmental citizen science - the involvement of volunteers in environmental monitoring", POST Note 476
Socientize 2014, "Citizen Science refers to the general public engagement in scientific research activities when citizens actively contribute to science either with their intellectual effort or surrounding knowledge or with their tools and resources", White Paper on Citizen Science in Europe 
EU 2016, "inclusion of non-institutional participants, in other words the general public, in the scientific process",Open Innovation Open Science Open to the World.
LERU 2016,"Citizen science, the active involvement of non-professional scientists in research... The boundaries of what can rightly be termed citizen science are debatable, but there is broad consensus that projects should involve voluntary and active public engagement with research", Advice Paper 20
RAND 2017, "takes open science activities beyond the purview of professional scientists’ circles by exploring the involvement of citizens in scientific research and the implications of these activities on and within society",Open Science - the citizen's role in and contribution to research 
OECD 2017, "At the heart of the scientific process, it can be more narrowly understood as people, who are not professional scientists, taking part in research, i.e. co-producing scientific knowledge. This involves collaborations between the public and researchers/institutes but also engages governments and funding agencies.", Open Research Agenda Setting - Policy Paper No. 50 
Science Europe 2018,"The practice of citizens performing science and of scientists working together with citizens",Science Europe Briefing Paper on Citizen Science: D/2018/13.324/2
Wikipeida 2005, "a project (or ongoing program of work) which aims to make scientific discoveries, verify scientific hypotheses, or gather data which can be used for scientific purposes, and which involves large numbers of people, many of whom have no specific scientific training.",In Science Europe 2018
Wikipedia 2019, "scientific research conducted, in whole or in part, by amateur (or nonprofessional) scientists", https://en.wikipedia.org/wiki/Citizen_science 15/10/19
US National Academics of Science 2018, "The involvement of the broader public in the research enterprise", Open Science by Design: Realizing a Vision for 21st Century Research
Environmental Science & Technology Journal 2007, "According to Wikipedia, the term citizen science refers to a program in which a network of volunteers, many of whom have little or no specific scientific training, perform or manage research-related tasks, such as observation, measurement, or computation.", Schooner J.L - Editorial - Citizen Science
EU 2019, "More and more Europeans hold higher education degrees. Enabled by digitalisation and knowledge, citizens are today prosumers capable of shaping the innovation process and bypassing restrictive practices of established sectors and governments. This goes well beyond citizen science and covers the entire research and innovation process, with citizens becoming co-designers, co-creators and co-funders.",101 Ideas on the future of Research and Innovation in Europe - 27
G7 Science academies 2019, "two categories of citizen science. The first one, which is predominant, is participatory research done by citizens who have not necessarily received training in scientific research. It was this activity that has been historically named 'citizen science'...A second and more recent category of citizen science involves scientifically trained individuals working in isolation, or in virtual communities, to develop projects outside established controlled environments (university, government or industry research system).", Citizen Science in the Internet Era - Summit of the G7 science academies
